Vendor Code,Vendor Name
400426,SALEM AGENCIES & SERVICES COMPANY
400431,ATLAS SUPPORT & SERVICES CO. LTD.
400434,ARAB TECHNICAL CO. LTD.
400437,BRANCH ABDULWAHAB MANSOUR
400446,UNIVERSAL INSPECTION CO.LTD
400447,STATION FOR CONTRACTING CO. LTD.
400450,NABIL TALIB CONTRACTING EST.
400453,ADKA GENERAL CONTRACTING
400456,NABHA RUBBER FACTORY CO.
400461,RIYADH GEOTECHNIQUE & FOUNDATIONS C
400462,POWER DEPEND TRANSPORT EST.
400468,CONSTRUCTION EXPERIENCE FOR CONTRAC
400476,GULF STANDARD INVESTMENT CO.
400481,ADVANCED CAE SAUDI ARABIA
400485,ABDUL AZIZ MOHAMMED AISHAN
400486,SOFT CUT CONTRACTING COMPANY
400508,MUSTHAFA FAWZI ALI AL SHEIKH
400517,NATIONAL FIRE FIGHTING MANUFACTURIN
400521,DELTA AL DHAHRAN FOR CONTRACTING ES
400528,AL LOULAOU AL- SIKNI
400555,FEOL MACHINES AND EQUIPMENT CO.
400557,BEIT SIMA CONTRACTING EST.
400560,KHALIL IBRAHIM BIN KHALIL
400562,FAST STAR TRANSPORTATION COMPANY
400571,DULAIM ARABIA LTD CO.
400575,MEGGER ARABIA LIMITED COMPANY
400578,SPECIALIZED CONSULTING COMPANY
400604,JAHAZ AYED AL RASHIDI & PARTNER
400605,ZAHI MAAS GENERAL CONTRACTING
400612,SANEHA ADVANCED CO.LTD
400614,ART ZONE INTERNATIONAL CONTRACTING
400616,AL AJAB INTERNATIONAL FACTORY
400620,MAS ARABIA GENERAL CONTRACTING EST
400621,DALLAH AL SHARQ CONTRACTING CO.
400623,JAWA HUMAN RESOURCES COMPANY
400624,KONE AREECO LTD
400629,JAZEERAT AL NAKHEEL CONTRACTING EST
400631,INDUSTRIAL INDEX CONTRACTING EST.
400634,ZAMIL AIR CONDITIONERS
400636,HASSAN AL BILAD FOR
400641,GRACE PLUS CONTRACTING COMPANY
400643,QAWAFEL YANBU CONTRACTING EST.
400647,JANA SAAD ABDULLAH AL SHAHRANI
400654,CONTROL SYSTEMS CONTRACTING CO.
400660,INSHAAT AL TUWAYA GENERAL
400661,DIVERSIFIED LINES FOR PETROLEUM SER
400662,ARABIAN GRAY CONT. EST.
400663,SAEED M. AL BASSAMI CO.
400668,WAFAQ AL EJ CONTRACTING COMPANY
400676,POLY COAT ATLANTIC CONTRACTING
400679,SADIAH SAEED KHAN CONTRACTING EST.
400685,ITEA INTERNATIONAL LTD. CO.
