vendor-code,vendor-name,material-group,material-subgroup,is-service,total-po-value-sar,total-po-count
100139,QATAR OPERATIONS AND MAINTENANCE CO,,,,85288.51,3
100155,"AL-KARRIM LANKA CONSULTANTS(Pvt) Ltd.,",,,,0,0
100152,THERMO ELECTRIC CO LTD,,,,20079.09,1
100153,CEWE INSTRUMENT AB,,,,471150.05,4
100162,WESCO RECEIVABLES CORPORATION,,,,0,0
100160,EMCO Electronics LLP,,,,144131.25,5
100161,NEM Power-Systems,,,,278572.5,2
100164,ETS PORTSMOUTH LTDt/a ETS Cable Components,,,,6359.04,1
100163,GHIELMETTI SOLUTIONS AGOld: GHIELMETTI AG,,,,99245.71,2
100165,SAI PARADISE MACHINE TOOLS,,,,12500,1
100170,WESCO RECEIVABLES CORPORATION,,,,101812.5,2
100175,Value Lines Traders WLL.,,,,15787.58,1
100180,STAUBLI FAVERGES,,,,639.9,1
100176,DELTAFLUID,,,,51815.88,4
100186,WireMasters Inc,,,,8067.38,1
100185,Raco Manufacturing &Engineering Co.,,,,34931.29,2
100188,Infodart Technologies FZE,,,,28144.73,1
100187,ÖREN KABLO PAZARLAMA TİCARETLIMITED SIRKETI,,,,20447.63,1
100195,MISC GLOBAL CONTRACTING CO LTD,,,,87500,2
100190,NILON VALVES PVT LTD,,,,0,0
100196,GRID SOLUTIONS MIDDLE EAST FZE,,,,26335740.83,97
100200,Dataforth Europe LLp,,,,450,1
100205,Cabur Srl,,,,0,0
100206,VIVEK ENGINEERS,,,,7369.05,2
100207,Perma Pure LLC,,,,37027.8,2
100208,Grid Solutions SAS,,,,0,0
100209,DEVELOPED KNOWLEDGE RECRUITMENTFOR HIRING JORDANIANS CO.,,,,0,0
100210,HIBA INTERNATIONAL RECRUITMENT &MANPOWER SUPPLY CO.LTD;,,,,0,0
100211,LYNX ENTERPRISES-SHAKIL AHMED KHAN,,,,0,0
100212,MANIK TRAVELS,,,,0,0
100213,INFO EDGE INDIA LTD;,,,,0,0
100214,NEW CAREER PLACEMENT SERVICESMUMBAI INDIA,,,,0,0
100215,JS CONTRACTOR.LNC,,,,0,0
100216,AL-YOUSUF ENTERPRISES OVERSEAS,,,,0,0
100217,BISON MANAGEMENT-BELENALOMAID-PHILIPPINE,,,,0,0
100219,PAKISTAN PROGRESSIVE ASSOCIATES,,,,0,0
100218,HAM PROPERTY SERVICES &MANAGEMENT(UGANDA-KAMPALA),,,,0,0
100220,NISHA OVERSEAS,,,,0,0
100222,KHAN TOURS & TRAVELS,,,,0,0
100223,UNITED RECRUITMENT,,,,0,0
100224,EYEQUEST MANPOWER SERVICES,,,,0,0
100226,"ISAB INTERNATIONAL LTD , (UGANDA)",,,,0,0
100225,JCJ MANAGEMENT SERVICES,,,,0,0
100228,UNICORN OVERSEAS SERVICES(PVT)LTDSERLANKA,,,,0,0
100227,NISHUTI INTERNATIONAL,,,,0,0
100229,JIC MANAGEMENT CONSULTANTS (DUBAI),,,,0,0
100230,PT USAHATAMA BUNDA SEJATI(INDONESIA ),,,,0,0
100231,AHB TRAVELS RECRUITING AGENCY,,,,0,0
100232,PT.HASSINDO (PT.BHAYANGKARA),,,,0,0
100234,PERSONNEL SEARCH HR CONSULTANT(AL-VAKIL),,,,0,0
100221,EMERALD ISLE MANPOWER,,,,0,0
100233,PT.BAHRINDO MAHDI,,,,0,0
100237,PT.INTI JAFFARINDO,,,,0,0
100236,HARLEY MEDIC INTERNATIONAL-LONDON,,,,0,0
100238,MPH GLOBAL SERVICES(DMCC BRANCH),,,,0,0
100235,FIRAT TERCUME (TURKEY ),,,,0,0
100239,ACURA TRADE INTERNATIONAL LTD,,,,0,0
100240,MILLOO ENTERPRISES,,,,0,0
100241,LEO ENTRPRISES,,,,0,0
100242,LINKEDIN SUBSCRIPTION CO,,,,0,0
100243,NASSER OVERSEAS CONSULTANTS,,,,0,0
100244,DISCOMB GULF TRAVEL,,,,0,0
100245,IMTIYAZ INTERNATIONAL,,,,0,0
100246,AL-KARIM LANKA,,,,0,0
100247,PREMIER GLOBAL,,,,0,0
100248,RAKI INTERNATIONAL,,,,0,0
100249,JERRY VARGHESE,,,,0,0
100250,BETA CONSULTANCY HR SERVICES,,,,0,0
100251,TRAVEL CRAFT,,,,0,0
100252,PT.AMIL FAJAR INTERNATIONAL,,,,0,0
100253,HERU KHOERUDIN,,,,0,0
100254,ALSHEIKH CORPORATION,,,,0,0
100256,"PRINCILPALIA MANAGEMENT & PERSONNELCONSULTANTS ,INC-PHP",,,,0,0
100255,PT.BUMENJAYA PRADUTA ABADI,,,,0,0
100257,PROFILE OVERSEAS MANPOWER SERVICESINC. - PHP,,,,0,0
100258,MONSTER.COM (INDIA ) PRIVATE LTD,,,,0,0
100259,Samara Trading & ContractingCompany,,,,0,0
100260,DEMBLA VALVES LTD,,,,4590,1
100265,NATIONAL TRANSPORTATION SOLUTIONSCOMPANY,,,,0,0
100261,FLEXICRAFT INDUSTRIES,,,,1892.63,1
100269,BELL ENTERPRISE,,,,13125,1
100267,SAAD TECHNICAL SERVICES LLP,,,,0,0
100268,M. GHEEWALA GLOBALHR CONSULTANTS,,,,0,0
100271,"VUONG HUNG TECHNOLOGIES CO., LTD",,,,0,0
100266,INTERNATIONAL TRADE LINKS(ITL)HR CONSULTANTS-INDIA,,,,0,0
100270,"Hoffer Flow Controls, Inc.",,,,254922.38,6
100273,NIKO STEEL CENTRE,,,,0,0
100274,MEZON STAINLESS STEEL FZCO,,,,787867.5,1
100275,VAS INTERNATIONAL,,,,0,0
100272,SAGAR STEEL CORPORATION,,,,468461.73,4
100276,ZIV AUTOMATION IRELAND LIMITED,,,,110160,1
100280,M.GHEEWALA GLOBAL HR CONSULTANTS,,,,0,0
